Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Class
Asia,Southern Asia,Afghanistan,7.1,7.0,9.0,9.5,9.0,5.5,3.5,6.5,9.5,1.0,7.5,9.0,4.0,7.5,8.5,9.0,6.0,7.2,5.0,8.0,9.0,6.0,8.0,1.5,1.5,1.0,1.0,1.5,1.5,1.5,3.5,1.0,1.5,1.5,1.5,1.0,2
Africa,North Africa,Libya,6.93,6.57,8.5,9.5,9.0,1.0,3.5,9.5,2.5,5.5,7.0,7.5,3.5,9.5,6.0,7.0,9.0,7.3,9.0,7.5,9.5,5.5,5.0,1.54,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5,2
Asia,South-Eastern Asia,Myanmar,8.15,7.7,8.5,8.0,9.0,8.5,8.5,9.0,9.5,3.5,4.5,10.0,7.5,8.5,6.0,7.0,7.5,8.6,9.5,8.0,9.0,9.0,7.5,1.63,1.5,1.5,2.0,2.0,1.5,1.5,2.0,2.0,1.5,1.0,1.5,1.5,2
Asia,Western Asia,Yemen,6.57,5.63,9.0,9.0,9.5,2.5,4.0,7.5,2.5,2.0,4.0,4.5,1.5,8.0,6.5,6.0,8.0,7.5,7.0,8.0,8.0,8.5,6.0,1.75,1.5,1.5,3.0,2.0,1.5,2.0,1.5,2.0,2.0,1.0,1.0,2.0,2
Africa,Central Africa,Central African Republic,6.75,5.6,7.5,5.5,9.0,7.0,8.0,10.0,1.5,1.5,3.5,7.0,2.0,3.5,7.0,4.5,6.5,7.9,8.0,8.0,9.0,9.0,5.5,1.79,1.5,1.5,3.0,2.0,2.0,1.5,1.5,2.0,1.5,2.5,1.0,1.5,2
Africa,East Africa,Somalia,6.13,5.27,8.0,7.5,9.0,7.0,5.5,3.0,2.5,2.0,2.0,2.5,2.5,7.0,6.0,5.0,9.5,7.0,9.5,7.5,7.0,5.5,5.5,1.79,1.5,1.0,2.5,2.5,2.0,1.5,1.5,2.0,1.5,1.0,1.5,3.0,2
Asia,Eastern Asia,"Korea, DPR",4.82,5.73,8.5,6.5,9.0,3.0,3.0,7.5,4.0,1.5,5.0,8.0,9.0,8.0,7.5,4.0,1.5,3.9,1.0,3.0,10.0,4.5,1.0,1.79,3.0,1.0,2.0,2.0,1.0,1.5,6.0,1.0,1.0,1.0,1.0,1.0,1
Americas,South America,Venezuela,6.72,6.03,7.5,7.5,8.0,3.5,3.0,9.0,2.0,9.0,7.0,3.0,3.5,8.0,5.5,6.5,7.5,7.4,9.5,5.0,9.0,7.5,6.0,1.88,2.0,1.5,1.5,2.0,1.5,1.5,3.0,2.0,2.0,1.5,2.0,2.0,2
Africa,East Africa,South Sudan,6.32,5.13,8.5,5.5,8.0,7.0,6.5,8.5,2.0,1.5,4.0,1.0,1.0,7.5,6.0,5.0,5.0,7.5,5.0,7.5,9.0,8.0,8.0,1.88,2.0,1.5,2.0,3.0,2.0,2.0,1.5,1.5,2.5,1.0,1.5,2.0,2
Asia,Western Asia,Syria,7.07,6.43,8.5,9.0,9.0,1.5,3.5,8.5,3.0,2.5,7.5,10.0,4.5,8.0,6.5,6.5,8.0,7.7,4.5,9.0,10.0,8.0,7.0,1.92,2.0,1.0,3.5,2.0,1.5,2.0,1.5,2.0,2.0,2.0,2.0,1.5,2
Americas,Caribbean & Central,Nicaragua,5.72,5.23,7.0,6.0,6.0,6.0,6.0,6.5,2.5,8.0,6.0,3.5,3.5,4.0,6.0,5.5,2.0,6.2,5.0,6.5,9.0,6.5,4.0,2.08,1.5,1.0,2.0,3.0,2.0,2.5,2.5,2.5,2.0,2.0,3.0,1.0,2
Africa,Central Africa,Burundi,4.87,4.63,8.5,6.5,8.0,2.0,4.0,4.0,3.0,2.5,3.5,3.0,2.0,6.5,5.5,6.0,4.5,5.1,2.0,4.5,9.0,4.0,6.0,2.17,3.0,1.0,2.5,3.0,2.0,1.5,3.0,1.5,2.0,1.5,2.5,2.5,1
Asia,Central Asia and the Caucasus,Turkmenistan,4.4,4.4,8.5,5.5,2.0,2.5,2.5,7.0,6.5,1.5,4.0,4.0,2.5,5.5,4.0,5.0,5.0,4.4,2.5,5.0,8.5,3.5,2.5,2.21,2.0,1.5,1.5,2.5,1.5,2.0,4.5,3.5,2.0,2.0,2.0,1.5,1
Africa,Central Africa,Equatorial Guinea,4.38,3.57,4.5,2.0,5.5,8.0,5.0,6.0,2.0,2.0,3.5,1.5,1.5,6.0,2.0,2.0,2.0,5.2,1.0,2.0,9.0,5.5,8.5,2.21,1.5,1.0,2.0,5.5,2.5,2.0,3.5,2.0,1.5,1.5,2.0,1.5,1
Africa,East Africa,Eritrea,3.97,3.93,9.0,9.5,7.5,1.5,3.0,2.0,3.0,1.5,4.0,1.5,1.5,4.0,3.0,7.0,1.0,4.0,1.0,5.5,9.5,2.5,1.5,2.33,1.0,1.0,2.0,2.5,2.0,3.0,7.0,3.0,2.5,1.0,2.0,1.0,1
Africa,Central Africa,"Congo, Dem, Rep,",7.35,6.2,7.5,5.5,9.0,9.0,8.0,9.5,4.0,4.0,7.0,2.5,2.5,7.0,6.0,4.0,7.5,8.5,9.0,9.0,9.0,9.0,6.5,2.38,1.0,1.5,4.0,3.0,2.5,1.5,2.0,2.5,1.5,2.0,2.0,5.0,2
Africa,West Africa,Mali,5.93,6.47,7.5,7.0,8.0,5.0,5.0,8.0,3.0,6.0,7.0,7.0,5.0,7.0,6.5,7.0,8.0,5.4,4.0,7.0,8.0,4.0,4.0,2.38,2.5,2.5,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0,2
Africa,Southern Africa,Comoros,3.92,3.73,5.0,6.5,3.5,3.0,6.0,2.0,4.5,2.0,3.5,4.5,1.5,5.0,3.5,4.0,1.5,4.1,1.0,4.5,7.0,5.0,3.0,2.38,2.0,2.0,3.0,2.5,2.0,2.0,3.0,4.0,3.0,1.5,1.5,2.0,1
Africa,Central Africa,Chad,5.5,5.1,7.0,7.5,8.5,1.5,3.5,8.0,2.0,4.5,6.0,7.5,3.0,3.0,5.0,4.5,5.0,5.9,5.0,6.5,8.5,5.0,4.5,2.42,3.0,2.0,5.0,3.0,2.0,2.5,3.0,2.0,2.0,1.0,1.0,2.5,1
Americas,Caribbean & Central,Haiti,5.93,5.77,7.5,7.0,7.0,6.5,4.5,6.5,2.0,8.0,6.5,3.5,3.0,7.5,5.0,5.0,7.0,6.1,8.5,6.5,8.0,4.5,3.0,2.46,2.0,1.5,3.0,4.0,2.5,2.0,2.0,2.5,2.0,1.5,2.5,4.0,2
Asia,Central Asia and the Caucasus,Tajikistan,5.45,4.8,7.0,6.5,4.0,2.5,3.5,7.0,8.5,2.0,6.0,5.5,2.0,6.0,5.5,3.0,3.0,6.1,6.0,5.5,9.0,5.0,5.0,2.58,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1
Africa,West Africa,Guinea-Bissau,5.1,4.6,5.5,2.5,5.5,8.5,6.5,1.0,5.0,8.5,5.0,2.0,2.0,6.0,3.0,4.0,4.0,5.6,1.0,8.0,8.5,6.5,4.0,2.58,2.0,2.5,3.5,3.0,3.0,3.0,3.5,3.0,1.5,1.0,2.0,3.0,1
Africa,East Africa,Sudan,6.37,5.23,8.0,8.0,9.0,2.5,5.5,8.5,2.5,2.5,7.5,5.0,2.5,7.0,3.0,2.5,4.5,7.5,6.5,7.5,8.5,8.0,7.0,2.71,2.0,2.0,5.5,4.5,3.0,2.5,2.5,3.5,2.0,1.0,2.0,2.0,2
Americas,South America,Suriname,4.77,4.53,4.0,5.0,5.5,4.5,4.0,8.5,1.5,8.5,2.0,3.0,5.0,4.5,5.0,4.0,3.0,5.0,3.0,5.0,7.5,5.5,4.0,3.04,3.0,2.0,4.5,3.5,3.0,3.0,2.0,2.0,2.0,3.0,5.0,3.5,1
Asia,Western Asia,Iran,7.03,7.37,8.0,8.5,9.0,4.5,4.0,9.5,9.0,5.5,6.0,9.5,8.0,9.0,7.5,8.0,4.5,6.7,5.0,7.5,9.5,6.0,5.5,3.13,2.5,2.0,4.0,4.0,3.0,3.0,5.0,2.5,2.5,3.5,3.0,2.5,2
Africa,Southern Africa,Zimbabwe,5.47,5.03,5.5,3.5,4.5,4.5,7.0,8.5,4.0,3.5,6.0,5.5,4.5,5.5,4.0,6.5,2.5,5.9,3.5,7.5,8.0,6.0,4.5,3.13,2.0,3.0,3.5,3.5,2.5,3.0,4.5,4.0,3.0,2.0,3.5,3.0,1
Africa,West Africa,Guinea,4.58,4.77,7.0,4.0,5.5,5.0,6.5,7.0,2.5,7.0,4.5,4.5,2.0,5.5,5.0,4.5,1.0,4.4,1.0,6.0,7.5,6.5,1.0,3.13,2.5,3.5,3.5,4.0,3.5,3.5,3.5,3.0,3.0,2.0,2.0,3.5,1
Africa,North Africa,Mauritania,4.38,4.27,7.5,6.5,3.5,1.0,4.0,3.5,1.5,4.5,7.0,3.0,1.5,6.0,6.0,6.0,2.5,4.5,1.5,5.0,6.5,6.0,3.5,3.13,4.0,3.5,3.5,3.5,2.5,2.5,4.0,4.5,3.0,1.5,2.0,3.0,1
Africa,Central Africa,Cameroon,6.27,6.23,6.5,5.5,7.5,7.5,7.5,7.5,4.5,3.5,7.0,7.0,5.0,6.0,7.5,5.0,6.0,6.3,4.5,7.5,8.0,7.0,4.5,3.17,2.0,1.5,5.5,4.5,2.5,4.0,2.0,3.5,2.5,2.5,2.5,5.0,2
Asia,Western Asia,Iraq,7.13,6.27,7.5,8.5,9.0,1.5,4.0,9.0,6.0,5.0,5.5,7.0,2.0,9.0,6.5,6.5,7.0,8.0,6.5,8.5,8.5,9.0,7.5,3.21,3.5,2.5,4.0,3.5,3.5,3.5,2.5,4.0,3.0,2.5,3.0,3.0,2
Americas,Caribbean & Central,El Salvador,5.92,5.43,7.0,7.0,7.0,5.0,5.5,1.5,1.5,7.5,7.0,2.5,5.5,6.5,5.0,5.5,7.5,6.4,8.5,7.0,7.5,4.5,4.5,3.21,2.0,2.0,4.5,4.0,2.0,3.0,5.5,3.5,2.0,3.5,4.0,2.5,2
Europe,Central & Eastern Europe,Belarus,5.87,5.33,7.0,7.5,7.5,3.5,2.5,5.0,4.0,2.5,4.0,5.0,7.0,8.0,6.5,6.0,4.0,6.4,4.0,5.0,9.0,6.5,7.5,3.25,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.5,4.0,3.0,4.5,2.0,2
Africa,West Africa,Liberia,5.5,5.4,6.0,3.0,5.0,6.0,6.0,7.0,5.0,6.5,6.0,3.5,4.5,7.5,6.5,4.5,4.0,5.6,3.0,6.5,6.5,6.0,6.0,3.25,3.5,3.0,3.5,4.0,3.5,4.0,3.5,3.5,3.0,1.5,2.0,4.0,1
Africa,Central Africa,Gabon,4.85,4.6,5.5,5.5,4.5,8.5,7.0,3.0,2.5,3.0,4.0,5.0,2.5,7.0,7.0,3.0,1.0,5.1,1.0,5.0,8.0,6.0,5.5,3.25,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.5,3.0,3.5,3.0,1
Africa,Central Africa,"Congo, Rep,",4.78,4.47,6.5,4.5,5.0,8.0,7.0,4.0,2.0,6.0,4.0,2.0,2.5,4.0,5.5,3.0,3.0,5.1,3.0,6.5,8.0,5.0,3.0,3.25,3.0,2.0,5.0,5.0,2.0,4.5,3.0,3.0,3.0,2.0,4.0,2.5,1
Africa,Southern Africa,Mozambique,6.2,5.9,4.5,5.5,6.5,8.0,8.0,8.0,8.0,6.0,4.0,7.0,3.0,6.5,4.0,4.5,5.0,6.5,5.0,8.0,9.0,7.5,3.0,3.29,3.0,3.5,5.5,5.5,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2
Oceania,Melanesia,Papua New Guinea,5.72,5.33,7.0,4.0,6.5,8.5,5.0,7.0,1.0,4.0,6.5,5.0,4.0,9.0,5.5,5.0,2.0,6.1,1.0,8.0,8.5,6.5,6.5,3.29,2.5,2.0,4.5,5.5,4.5,3.0,3.0,3.0,3.0,3.5,2.5,2.5,2
Americas,Caribbean & Central,Belize,4.87,4.43,5.5,6.0,5.0,5.5,5.5,3.5,3.5,5.0,5.5,3.0,3.5,4.0,3.5,4.0,3.5,5.3,6.5,3.5,5.5,5.5,5.5,3.29,6.0,2.5,4.0,3.5,4.0,4.0,2.0,2.0,1.5,3.0,3.0,4.0,1
Africa,Southern Africa,eSwatini,4.38,3.87,4.0,4.5,4.0,2.5,2.0,3.0,3.0,3.0,5.5,3.0,5.0,5.5,4.0,4.5,4.5,4.9,2.0,5.5,6.0,5.0,6.0,3.29,3.0,2.5,5.0,3.0,3.0,3.0,4.0,5.0,2.0,2.5,4.0,2.5,1
Africa,Southern Africa,Madagascar,5.58,5.27,6.0,3.0,6.0,8.0,7.5,8.0,7.0,3.0,6.5,2.5,2.0,6.0,4.0,4.0,5.5,5.9,4.5,5.0,8.0,6.5,5.5,3.33,4.0,2.0,3.0,3.5,2.5,4.0,5.5,4.5,2.0,2.5,4.0,2.5,2
Asia,Western Asia,Turkey,7.03,6.77,8.0,9.0,8.5,4.0,3.0,8.5,8.5,5.5,6.5,7.0,5.0,8.0,7.0,7.0,6.0,7.3,8.5,8.0,9.0,6.0,5.0,3.38,4.0,2.0,3.5,4.5,2.0,3.0,5.5,2.0,4.0,4.0,3.0,3.0,2
Americas,South America,Paraguay,7.52,6.73,7.5,6.0,9.0,6.5,6.5,4.0,1.0,8.5,9.0,4.5,7.5,7.5,9.0,7.5,7.0,8.3,8.0,8.0,9.0,9.0,7.5,3.42,2.0,3.0,7.0,3.5,2.5,2.0,4.5,2.5,4.0,2.0,3.0,5.0,2
Asia,Southern Asia,Sri Lanka,4.92,4.83,6.5,6.5,6.0,3.5,5.5,3.0,6.5,2.5,6.0,6.0,3.0,4.0,2.5,3.5,7.5,5.0,5.5,6.0,7.0,3.5,3.0,3.42,2.5,3.0,5.5,5.5,3.0,3.0,4.0,5.0,2.0,3.0,2.0,2.5,1
Asia,Western Asia,Lebanon,7.1,6.3,7.5,8.0,8.5,1.5,3.5,6.5,4.0,6.0,9.0,8.5,4.0,9.0,6.5,6.5,5.5,7.9,6.0,7.5,9.5,8.5,8.0,3.46,2.5,3.0,5.5,4.0,3.5,3.0,3.0,2.5,1.5,4.0,3.5,5.5,2
Asia,South-Eastern Asia,Laos,6.12,6.33,7.0,6.5,5.5,8.0,8.5,3.5,7.5,2.5,4.5,8.5,5.5,8.0,7.5,7.0,5.0,5.9,1.5,6.5,6.5,8.0,7.0,3.46,3.5,2.5,4.0,4.0,3.0,4.0,2.5,3.5,4.0,4.0,3.5,3.0,2
Africa,West Africa,Burkina Faso,5.92,5.83,7.0,4.5,8.0,5.5,6.5,8.5,4.0,4.0,4.0,5.5,5.5,5.5,6.0,6.5,6.5,6.0,4.0,7.0,7.0,6.0,6.0,3.46,2.5,3.5,5.0,5.5,4.0,3.0,2.0,4.0,3.0,2.5,2.0,4.5,2
Africa,West Africa,Niger,5.7,5.7,7.5,8.0,8.0,2.0,5.0,7.5,3.0,6.5,7.0,7.5,1.0,6.5,7.0,5.0,4.0,5.7,4.0,7.5,8.5,5.5,3.0,3.46,4.0,2.5,5.5,4.5,2.5,4.0,3.5,4.0,3.5,2.5,2.5,2.5,2
Africa,West Africa,Benin,5.32,5.43,6.5,4.0,6.0,6.0,5.0,5.0,4.5,7.0,5.0,6.0,4.5,6.0,7.0,5.0,4.0,5.2,2.0,5.5,6.0,8.0,4.5,3.5,3.5,4.0,4.5,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,1
Asia,South-Eastern Asia,Cambodia,6.85,6.7,8.5,7.0,5.5,8.0,8.5,8.0,4.5,2.5,4.5,8.0,7.5,8.0,8.0,5.5,6.5,7.0,4.5,7.0,8.5,8.0,7.0,3.63,4.0,3.5,5.0,4.0,4.0,3.5,4.0,4.0,4.0,2.5,3.0,2.0,2
Europe,Central & Eastern Europe,Russia,6.87,6.83,7.5,6.5,8.5,7.5,7.5,7.5,6.0,3.5,5.0,8.5,9.0,8.5,4.5,6.5,6.0,6.9,6.0,7.0,8.5,5.0,8.0,3.79,4.0,3.0,3.0,6.0,4.0,4.5,5.0,3.5,4.0,2.5,3.5,2.5,2
Asia,Central Asia and the Caucasus,Kyrgyzstan,5.32,4.63,7.0,5.5,3.5,2.5,3.5,6.5,7.5,2.0,6.0,5.0,2.0,6.0,5.0,4.0,3.5,6.0,6.5,6.0,8.5,4.5,4.5,3.83,3.0,2.5,4.5,4.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,1
Africa,North Africa,Egypt,5.05,5.1,6.0,6.0,7.0,1.0,5.5,4.0,5.5,2.5,7.5,8.0,2.5,8.0,6.0,3.5,3.5,5.0,3.0,5.5,8.5,5.0,3.0,3.83,3.5,2.5,5.0,4.5,3.0,5.0,6.0,5.0,4.0,2.5,2.5,2.5,1
Asia,South-Eastern Asia,Timor-Leste,4.08,3.67,4.5,5.0,4.0,3.0,5.0,2.0,2.5,2.5,3.5,4.0,2.0,5.5,2.5,5.0,4.0,4.5,5.0,4.0,4.5,5.0,4.0,3.83,3.5,3.5,4.0,4.0,3.5,4.0,3.0,4.0,3.5,3.5,4.5,5.0,1
Africa,East Africa,Uganda,6.55,6.4,7.5,6.5,7.0,7.0,7.0,8.0,6.0,4.5,6.5,4.0,6.0,7.5,7.5,6.0,5.0,6.7,5.5,6.5,8.0,7.0,6.5,3.88,4.5,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.0,2
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.85,5.3,5.5,6.5,6.0,4.5,3.5,4.0,6.5,5.5,6.0,6.0,4.5,6.0,4.5,5.5,5.0,6.4,4.0,6.0,8.0,8.0,6.0,3.88,4.0,3.5,6.0,4.0,2.0,3.5,4.0,3.5,3.5,4.0,4.5,4.0,2
Asia,Central Asia and the Caucasus,Uzbekistan,4.95,4.6,7.5,6.0,3.0,3.0,3.5,7.0,6.5,1.5,4.5,4.5,3.0,6.0,4.0,5.0,4.0,5.3,5.0,5.5,6.5,5.0,4.5,3.88,3.5,3.0,4.0,4.0,3.0,3.5,4.5,3.5,5.0,4.0,5.5,3.0,1
Europe,Central & Eastern Europe,Moldova,5.6,5.2,7.5,4.5,7.5,3.0,2.0,4.0,3.5,2.5,5.0,5.0,7.5,8.0,5.0,7.5,5.5,6.0,5.0,5.0,8.0,5.0,7.0,3.92,4.0,4.0,5.0,5.0,3.0,4.0,3.5,3.5,4.0,4.0,3.0,4.0,2
Africa,Southern Africa,Lesotho,3.92,3.43,4.0,3.5,4.0,1.0,3.0,6.0,3.5,5.0,5.5,3.5,1.0,5.0,1.0,3.5,2.0,4.4,3.0,5.5,6.0,5.0,2.5,3.92,4.0,3.5,7.0,5.0,3.0,3.0,3.0,4.0,4.0,3.5,3.5,3.5,1
Asia,Southern Asia,Pakistan,6.03,6.27,8.0,7.5,8.5,4.5,5.5,5.5,8.5,3.0,7.0,7.0,5.0,7.0,4.5,6.0,6.5,5.8,6.0,7.0,7.5,4.0,4.5,3.96,3.5,3.5,5.0,5.0,3.0,4.5,4.0,4.0,3.5,3.5,4.0,4.0,2
Asia,Central Asia and the Caucasus,Azerbaijan,4.8,4.1,4.5,3.0,3.0,3.0,3.5,5.0,6.5,1.5,5.5,5.0,3.0,5.0,5.0,4.0,4.0,5.5,5.5,5.5,7.5,6.0,3.0,3.96,3.5,3.0,5.0,4.0,2.5,4.5,4.0,4.0,4.5,4.0,5.0,3.5,1
Asia,Southern Asia,Nepal,6.57,6.03,8.0,7.5,6.0,7.0,7.0,7.5,4.5,4.0,6.0,4.5,3.0,7.0,7.5,4.5,6.5,7.1,5.5,7.5,7.5,7.5,7.5,4.0,3.5,2.5,5.5,4.5,3.0,4.5,4.5,3.5,4.0,4.5,4.0,4.0,2
